V1.00
126
10
PrePopulate

level|~|sequence|~|quantity|~|parent|~|partno|~|unit|~|description|~|revision|~|category|~|source
1|~|50|~|1|~|RAW MATERIALS|~|1049|~|FT|~|3" NPS PIPE, SA106-B|~||~||~|J
1|~|51|~|1|~|RAW MATERIALS|~|1050|~|FT|~|3-1/2" NPS PIPE, SA106-B|~||~||~|J
1|~|52|~|1|~|RAW MATERIALS|~|1051|~|FT|~|4" NPS PIPE, SA106-B|~||~||~|J
1|~|53|~|1|~|RAW MATERIALS|~|1052|~|FT|~|4-1/2" NPS PIPE, SA106-B|~||~||~|J
1|~|54|~|1|~|RAW MATERIALS|~|1053|~|FT|~|5" NPS PIPE, SA106-B|~||~||~|J
1|~|55|~|1|~|RAW MATERIALS|~|1054|~|FT|~|6" NPS PIPE, SA106-B|~||~||~|J
1|~|56|~|1|~|RAW MATERIALS|~|1055|~|FT|~|7" NPS PIPE, SA106-B|~||~||~|J
1|~|57|~|1|~|RAW MATERIALS|~|1056|~|FT|~|8" NPS PIPE, SA106-B|~||~||~|P
1|~|58|~|1|~|RAW MATERIALS|~|1057|~|FT|~|10" NPS PIPE, SA106-B|~||~||~|P
1|~|59|~|1|~|RAW MATERIALS|~|1058|~|FT|~|12" NPS PIPE, SA106-B|~||~||~|P
1|~|60|~|1|~|RAW MATERIALS|~|1059|~|FT|~|14" NPS PIPE, SA106-B|~||~||~|J
1|~|61|~|1|~|RAW MATERIALS|~|1060|~|FT|~|16" NPS PIPE, SA106-B|~||~||~|J
1|~|62|~|1|~|RAW MATERIALS|~|1061|~|FT|~|18" NPS PIPE, SA106-B|~||~||~|J
1|~|63|~|1|~|RAW MATERIALS|~|1062|~|FT|~|20" NPS PIPE, SA106-B|~||~||~|P
1|~|64|~|1|~|RAW MATERIALS|~|1063|~|FT|~|24" NPS PIPE, SA106-B|~||~||~|J
1|~|65|~|1|~|RAW MATERIALS|~|1064|~|SF|~|3/16" SS|~||~||~|J
1|~|66|~|1|~|RAW MATERIALS|~|1065|~|SF|~|1/4" SS|~||~||~|J
1|~|67|~|1|~|RAW MATERIALS|~|1066|~|SF|~|1/4"Thk, 304SS Plate|~||~||~|P
1|~|68|~|1|~|RAW MATERIALS|~|1067|~|SF|~|1/8"Thk, 304SS Plate|~||~||~|J
1|~|69|~|1|~|RAW MATERIALS|~|1068|~|SF|~|11 GA SS|~||~||~|J
1|~|70|~|1|~|RAW MATERIALS|~|1069|~|SF|~|14 GA SS|~||~||~|J
1|~|71|~|1|~|RAW MATERIALS|~|1070|~|SF|~|18 GA SS|~||~||~|J
